movie,director,actor,Duration,fbdirector_likes,fblikes_actor,genre,imdb_score,fblikes_movie,year,imdb_rating,country,year1,gross,budget,Duration.,duration
Jack Ryan: Shadow Recruit,Kenneth Branagh,Colm Feore,90-180min,0,539,Action,6.2,17000,2014,6,USA,2014,$ 51M,$ 60M,105,1-2  hrs
Joy,David O. Russell,Jennifer Lawrence,90-180min,737,34000,Biography,6.6,24000,2015,7,USA,2015,$ 56M,$ 60M,124,2-3 hrs
London Has Fallen,Babak Najafi,Gerard Butler,90-180min,24,18000,Action,5.9,28000,2016,6,UK,2016,$ 62M,$ 60M,99,1-2  hrs
Alien: Resurrection,Jean-Pierre Jeunet,Gary Dourdan,90-180min,0,1000,Action,6.3,0,1997,6,USA,1997,$ 48M,$ 75M,116,1-2  hrs
Shooter,Antoine Fuqua,Tate Donovan,90-180min,845,650,Action,7.2,0,2007,7,USA,2007,$ 47M,$ 61M,124,2-3 hrs
The Boxtrolls,Graham Annable,Isaac Hempstead Wright,90-180min,7,874,Adventure,6.8,11000,2014,7,USA,2014,$ 51M,$ 60M,96,1-2  hrs
Practical Magic,Griffin Dunne,Goran Visnjic,90-180min,165,1000,Comedy,6.1,0,1998,6,USA,1998,$ 47M,$ 48M,104,1-2  hrs
The Lego Movie,Phil Lord,Morgan Freeman,90-180min,97,11000,Action,7.8,64000,2014,8,Others,2014,$ 258M,$ 60M,100,1-2  hrs
Miss Congeniality 2: Armed and Fabulous,John Pasquin,Eileen Brennan,90-180min,11,1000,Action,5,621,2005,5,USA,2005,$ 48M,$ 45M,115,1-2  hrs
Reign of Fire,Rob Bowman,Christian Bale,90-180min,38,23000,Action,6.2,0,2002,6,USA,2002,$ 43M,$ 60M,101,1-2  hrs
Gangster Squad,Ruben Fleischer,Ryan Gosling,90-180min,181,33000,Action,6.7,40000,2013,7,USA,2013,$ 46M,$ 60M,113,1-2  hrs
Year One,Harold Ramis,Olivia Wilde,90-180min,11000,10000,Adventure,4.9,0,2009,5,USA,2009,$ 43M,$ 60M,100,1-2  hrs
Invictus,Clint Eastwood,Matt Damon,90-180min,16000,13000,Biography,7.4,23000,2009,7,USA,2009,$ 37M,$ 60M,134,2-3 hrs
State of Play,Kevin Macdonald,Robin Wright,90-180min,162,18000,Crime,7.1,0,2009,7,USA,2009,$ 37M,$ 0M,127,2-3 hrs
Duplicity,Tony Gilroy,Julia Roberts,90-180min,209,8000,Comedy,6.2,0,2009,6,USA,2009,$ 41M,$ 60M,125,2-3 hrs
My Favorite Martian,Donald Petrie,Steven Anthony Lawrence,90-180min,80,1000,Comedy,4.9,448,1999,5,USA,1999,$ 37M,$ 65M,94,1-2  hrs
The Sentinel,Clark Johnson,Blair Brown,90-180min,69,310,Action,6.1,690,2006,6,USA,2006,$ 36M,$ 60M,107,1-2  hrs
Planet 51,Jorge Blanco,Dwayne Johnson,90-180min,2,12000,Adventure,6.1,0,2009,6,Others,2009,$ 42M,$ 70M,91,1-2  hrs
Star Trek: Nemesis,Stuart Baird,Tom Hardy,90-180min,53,27000,Action,6.4,0,2002,6,USA,2002,$ 43M,$ 60M,116,1-2  hrs
Intolerable Cruelty,Joel Coen,Cedric the Entertainer,90-180min,0,436,Comedy,6.3,0,2003,6,USA,2003,$ 35M,$ 60M,100,1-2  hrs
Trouble with the Curve,Robert Lorenz,Clint Eastwood,90-180min,39,16000,Drama,6.8,11000,2012,7,USA,2012,$ 36M,$ 0M,111,1-2  hrs
Edge of Darkness,Martin Campbell,Bojana Novakovic,90-180min,258,2000,Crime,6.6,0,2010,7,UK,2010,$ 43M,$ 80M,117,1-2  hrs
The Relic,Peter Hyams,John Kapelos,90-180min,0,510,Horror,5.7,956,1997,6,UK,1997,$ 34M,$ 40M,110,1-2  hrs
Analyze That,Harold Ramis,Robert De Niro,90-180min,11000,22000,Comedy,5.9,846,2002,6,USA,2002,$ 32M,$ 60M,96,1-2  hrs
Righteous Kill,Jon Avnet,Robert De Niro,90-180min,50,22000,Action,6,0,2008,6,USA,2008,$ 40M,$ 60M,101,1-2  hrs
Mercury Rising,Harold Becker,Bruce Willis,90-180min,17,13000,Action,6.1,0,1998,6,USA,1998,$ 33M,$ 60M,111,1-2  hrs
The Soloist,Joe Wright,Robert Downey Jr.,90-180min,456,21000,Biography,6.7,0,2009,7,UK,2009,$ 32M,$ 60M,117,1-2  hrs
The Legend of Bagger Vance,Robert Redford,Matt Damon,90-180min,0,13000,Drama,6.7,0,2000,7,USA,2000,$ 31M,$ 60M,126,2-3 hrs
Almost Famous,Cameron Crowe,Philip Seymour Hoffman,90-180min,488,22000,Adventure,7.9,15000,2000,8,USA,2000,$ 33M,$ 60M,152,2-3 hrs
Garfield 2,Tim Hill,Bill Murray,30-90min,25,13000,Animation,5,470,2006,5,UK,2006,$ 28M,$ 0M,86,1-2  hrs
xXx: State of the Union,Lee Tamahori,Sunny Mabrey,90-180min,93,287,Action,4.3,0,2005,4,USA,2005,$ 26M,$ 87M,101,1-2  hrs
Priest,Scott Stewart,Josh Wingate,30-90min,124,865,Action,5.7,20000,2011,6,USA,2011,$ 29M,$ 60M,87,1-2  hrs
Sinbad: Legend of the Seven Seas,Patrick Gilmore,Brad Pitt,30-90min,0,11000,Adventure,6.7,880,2003,7,USA,2003,$ 26M,$ 60M,85,1-2  hrs
Event Horizon,Paul W.S. Anderson,Sean Pertwee,90-180min,545,722,Horror,6.7,10000,1997,7,UK,1997,$ 27M,$ 60M,130,2-3 hrs
The Avengers,Joss Whedon,Chris Hemsworth,90-180min,0,26000,Action,8.1,123000,2012,8,USA,2012,$ 623M,$ 220M,173,2-3 hrs
Dragonfly,Tom Shadyac,Joe Morton,90-180min,293,780,Drama,6.1,0,2002,6,USA,2002,$ 30M,$ 60M,104,1-2  hrs
The Black Dahlia,Brian De Palma,Scarlett Johansson,90-180min,0,19000,Crime,5.6,0,2006,6,Others,2006,$ 23M,$ 50M,121,2-3 hrs
Flyboys,Tony Bill,James Franco,90-180min,23,11000,Action,6.6,2000,2006,7,UK,2006,$ 13M,$ 60M,140,2-3 hrs
The Last Castle,Rod Lurie,Clifton Collins Jr.,90-180min,37,968,Action,6.9,0,2001,7,USA,2001,$ 18M,$ 60M,131,2-3 hrs
Supernova,Walter Hill,Robert Forster,90-180min,394,889,Horror,4.8,589,2000,5,USA,2000,$ 14M,$ 65M,91,1-2  hrs
Winter's Tale,Akiva Goldsman,Matt Bomer,90-180min,167,20000,Drama,6.2,17000,2014,6,USA,2014,$ 0M,$ 60M,118,1-2  hrs
The Mortal Instruments: City of Bones,Harald Zwart,Aidan Turner,90-180min,91,5000,Fantasy,6,44000,2013,6,USA,2013,$ 31M,$ 60M,130,2-3 hrs
Meet Dave,Brian Robbins,Marc Blucas,90-180min,48,973,Adventure,4.9,791,2008,5,USA,2008,$ 12M,$ 60M,90,1-2  hrs
Dark Water,Walter Salles,Dougray Scott,90-180min,179,794,Drama,5.6,0,2005,6,USA,2005,$ 25M,$ 30M,103,1-2  hrs
Edtv,Ron Howard,Matthew McConaughey,90-180min,2000,11000,Comedy,6.1,641,1999,6,USA,1999,$ 22M,$ 55M,122,2-3 hrs
Inkheart,Iain Softley,Brendan Fraser,90-180min,34,3000,Adventure,6.1,0,2008,6,Others,2008,$ 17M,$ 60M,106,1-2  hrs
The Spirit,Frank Miller,Scarlett Johansson,90-180min,436,19000,Action,4.8,2000,2008,5,USA,2008,$ 20M,$ 60M,103,1-2  hrs
Mortdecai,David Koepp,Johnny Depp,90-180min,192,40000,Action,5.5,12000,2015,6,UK,2015,$ 8M,$ 60M,107,1-2  hrs
In the Name of the King: A Dungeon Siege Tale,Uwe Boll,Jason Statham,90-180min,892,26000,Action,3.8,0,2007,4,Others,2007,$ 5M,$ 60M,156,2-3 hrs
Beyond Borders,Martin Campbell,Angelina Jolie Pitt,90-180min,258,11000,Adventure,6.5,0,2003,7,USA,2003,$ 4M,$ 35M,127,2-3 hrs
Xi you ji zhi: Sun Wukong san da Baigu Jing,Pou-Soi Cheang,Li Gong,90-180min,3,879,Action,6,426,2016,6,Others,2016,$ 0M,$ 68.005M,119,1-2  hrs
The Great Raid,John Dahl,James Franco,90-180min,131,11000,Action,6.7,0,2005,7,USA,2005,$ 10M,$ 80M,132,2-3 hrs
Deadpool,Tim Miller,Ryan Reynolds,90-180min,84,16000,Action,8.1,117000,2016,8,USA,2016,$ 363M,$ 58M,108,1-2  hrs
Holy Man,Stephen Herek,Kelly Preston,90-180min,65,743,Comedy,4.9,296,1998,5,USA,1998,$ 12M,$ 60M,114,1-2  hrs
American Sniper,Clint Eastwood,Bradley Cooper,90-180min,16000,14000,Action,7.3,112000,2014,7,USA,2014,$ 350M,$ 58.8M,133,2-3 hrs
Goosebumps,Rob Letterman,Odeya Rush,90-180min,11,2000,Adventure,6.4,35000,2015,6,USA,2015,$ 80M,$ 58M,103,1-2  hrs
Just Like Heaven,Mark Waters,Jon Heder,90-180min,70,970,Comedy,6.7,0,2005,7,USA,2005,$ 48M,$ 58M,95,1-2  hrs
The Flintstones in Viva Rock Vegas,Brian Levant,Taylor Negron,90-180min,32,1000,Comedy,3.6,500,2000,4,USA,2000,$ 35M,$ 60M,90,1-2  hrs
Rambo III,Peter MacDonald,Sylvester Stallone,30-90min,10,13000,Action,5.7,2000,1988,6,USA,1988,$ 54M,$ 63M,87,1-2  hrs
Leatherheads,George Clooney,Robert Baker,90-180min,0,142,Comedy,6,472,2008,6,USA,2008,$ 31M,$ 58M,114,1-2  hrs
The Ridiculous 6,Frank Coraci,Taylor Lautner,90-180min,153,12000,Comedy,4.9,0,2015,5,USA,2015,$ 0M,$ 0M,119,1-2  hrs
Did You Hear About the Morgans?,Marc Lawrence,Michael Kelly,90-180min,30,963,Comedy,4.7,0,2009,5,USA,2009,$ 30M,$ 58M,103,1-2  hrs
The Internship,Shawn Levy,Josh Gad,90-180min,189,1000,Comedy,6.3,22000,2013,6,USA,2013,$ 45M,$ 58M,125,2-3 hrs
Resident Evil: Afterlife,Paul W.S. Anderson,Milla Jovovich,90-180min,545,14000,Action,5.9,19000,2010,6,Others,2010,$ 60M,$ 60M,97,1-2  hrs
Red Tails,Anthony Hemingway,David Oyelowo,90-180min,143,1000,Action,5.9,0,2012,6,USA,2012,$ 50M,$ 58M,125,2-3 hrs
The Devil's Advocate,Taylor Hackford,Keanu Reeves,90-180min,138,18000,Drama,7.5,11000,1997,8,USA,1997,$ 61M,$ 57M,136,2-3 hrs
That's My Boy,Sean Anders,Adam Sandler,90-180min,51,11000,Comedy,5.6,12000,2012,6,USA,2012,$ 37M,$ 70M,116,1-2  hrs
DragonHeart,Rob Cohen,Dennis Quaid,90-180min,357,2000,Action,6.4,0,1996,6,USA,1996,$ 51M,$ 57M,103,1-2  hrs
After the Sunset,Brett Ratner,Salma Hayek,90-180min,420,4000,Action,6.3,782,2004,6,USA,2004,$ 28M,$ 58M,97,1-2  hrs
Ghost Rider: Spirit of Vengeance,Mark Neveldine,Nicolas Cage,90-180min,83,12000,Action,4.3,18000,2011,4,USA,2011,$ 52M,$ 57M,96,1-2  hrs
Captain Corelli's Mandolin,John Madden,Christian Bale,90-180min,108,23000,Drama,5.9,0,2001,6,UK,2001,$ 26M,$ 57M,131,2-3 hrs
The Pacifier,Adam Shankman,Vin Diesel,90-180min,163,14000,Action,5.5,0,2005,6,Others,2005,$ 113M,$ 56M,95,1-2  hrs
Walking Tall,Kevin Bray,Dwayne Johnson,30-90min,10,12000,Action,6.2,0,2004,6,USA,2004,$ 46M,$ 56M,86,1-2  hrs
Forrest Gump,Robert Zemeckis,Tom Hanks,90-180min,0,15000,Comedy,8.8,59000,1994,9,USA,1994,$ 330M,$ 55M,142,2-3 hrs
Alvin and the Chipmunks,Tim Hill,Jesse McCartney,90-180min,25,1000,Animation,5.2,0,2007,5,USA,2007,$ 217M,$ 60M,92,1-2  hrs
Meet the Parents,Jay Roach,Robert De Niro,90-180min,116,22000,Comedy,7,0,2000,7,USA,2000,$ 166M,$ 55M,108,1-2  hrs
Pocahontas,Mike Gabriel,Christian Bale,30-90min,12,23000,Adventure,6.6,0,1995,7,USA,1995,$ 142M,$ 55M,84,1-2  hrs
Superman,Richard Donner,Marlon Brando,long,503,10000,Action,7.3,0,1978,7,USA,1978,$ 134M,$ 55M,188,>3 hrs
The Nutty Professor,Tom Shadyac,Jada Pinkett Smith,90-180min,293,851,Comedy,5.6,960,1996,6,USA,1996,$ 129M,$ 54M,95,1-2  hrs
Hitch,Andy Tennant,Will Smith,90-180min,72,10000,Comedy,6.6,0,2005,7,USA,2005,$ 178M,$ 70M,118,1-2  hrs
George of the Jungle,Sam Weisman,Brendan Fraser,90-180min,39,3000,Action,5.4,5000,1997,5,USA,1997,$ 105M,$ 55M,92,1-2  hrs
American Wedding,Jesse Dylan,Alyson Hannigan,30-90min,58,3000,Comedy,6.3,0,2003,6,USA,2003,$ 104M,$ 55M,74,1-2  hrs
Captain Phillips,Paul Greengrass,Tom Hanks,90-180min,521,15000,Biography,7.9,65000,2013,8,USA,2013,$ 107M,$ 55M,134,2-3 hrs
Date Night,Shawn Levy,Mila Kunis,90-180min,189,15000,Comedy,6.3,0,2010,6,USA,2010,$ 99M,$ 55M,101,1-2  hrs
Casper,Brad Silberling,Eric Idle,90-180min,52,795,Comedy,6,0,1995,6,USA,1995,$ 100M,$ 50M,100,1-2  hrs
The Equalizer,Antoine Fuqua,Denzel Washington,90-180min,845,18000,Action,7.2,56000,2014,7,USA,2014,$ 102M,$ 55M,132,2-3 hrs
Maid in Manhattan,Wayne Wang,Bob Hoskins,90-180min,61,5000,Comedy,5.1,0,2002,5,USA,2002,$ 94M,$ 55M,105,1-2  hrs
Crimson Tide,Tony Scott,Denzel Washington,90-180min,12000,18000,Action,7.3,0,1995,7,USA,1995,$ 91M,$ 53M,123,2-3 hrs
The Pursuit of Happyness,Gabriele Muccino,Will Smith,90-180min,125,10000,Biography,8,32000,2006,8,USA,2006,$ 163M,$ 55M,117,1-2  hrs
Flightplan,Robert Schwentke,Erika Christensen,90-180min,124,931,Drama,6.2,0,2005,6,USA,2005,$ 90M,$ 55M,98,1-2  hrs
Disclosure,Barry Levinson,Demi Moore,90-180min,272,2000,Drama,6,0,1994,6,USA,1994,$ 83M,$ 55M,128,2-3 hrs
City of Angels,Brad Silberling,Nicolas Cage,90-180min,52,12000,Drama,6.7,0,1998,7,Others,1998,$ 79M,$ 55M,114,1-2  hrs
Kill Bill: Vol. 1,Quentin Tarantino,David Carradine,90-180min,16000,926,Action,8.1,13000,2003,8,USA,2003,$ 70M,$ 30M,111,1-2  hrs
Bowfinger,Frank Oz,Robert Downey Jr.,30-90min,0,21000,Comedy,6.4,0,1999,6,USA,1999,$ 66M,$ 55M,85,1-2  hrs
Kill Bill: Vol. 2,Quentin Tarantino,Vivica A. Fox,90-180min,16000,890,Action,8,0,2004,8,USA,2004,$ 66M,$ 30M,137,2-3 hrs
Tango & Cash,Andrey Konchalovskiy,Sylvester Stallone,90-180min,96,13000,Action,6.3,0,1989,6,USA,1989,$ 63M,$ 55M,97,1-2  hrs
Death Becomes Her,Robert Zemeckis,Bruce Willis,90-180min,0,13000,Comedy,6.4,8000,1992,6,USA,1992,$ 58M,$ 55M,104,1-2  hrs
Shanghai Noon,Tom Dey,Xander Berkeley,90-180min,9,485,Action,6.6,0,2000,7,USA,2000,$ 57M,$ 55M,110,1-2  hrs
Executive Decision,Stuart Baird,Oliver Platt,90-180min,53,1000,Action,6.4,0,1996,6,USA,1996,$ 69M,$ 55M,133,2-3 hrs
Mr. Popper's Penguins,Mark Waters,Madeline Carroll,90-180min,70,1000,Comedy,6,14000,2011,6,USA,2011,$ 68M,$ 55M,94,1-2  hrs
The Forbidden Kingdom,Rob Minkoff,Jet Li,90-180min,50,5000,Action,6.6,0,2008,7,USA,2008,$ 25M,$ 55M,104,1-2  hrs
Free Birds,Jimmy Hayward,Amy Poehler,90-180min,39,1000,Adventure,5.9,0,2013,6,USA,2013,$ 56M,$ 55M,91,1-2  hrs
Alien 3,David Fincher,Charles S. Dutton,90-180min,21000,534,Action,6.4,0,1992,6,USA,1992,$ 55M,$ 50M,145,2-3 hrs
Evita,Alan Parker,Andrea Corr,90-180min,317,57,Biography,6.3,0,1996,6,USA,1996,$ 50M,$ 55M,135,2-3 hrs
Ronin,John Frankenheimer,Robert De Niro,90-180min,287,22000,Action,7.3,0,1998,7,UK,1998,$ 42M,$ 55M,122,2-3 hrs
The Ghost and the Darkness,Stephen Hopkins,Tom Wilkinson,90-180min,81,1000,Adventure,6.8,0,1996,7,USA,1996,$ 39M,$ 55M,110,1-2  hrs
Paddington,Paul King,Julie Walters,90-180min,17,838,Animation,7.2,30000,2014,7,UK,2014,$ 76M,$ 55M,95,1-2  hrs
The Watch,Akiva Schaffer,Will Forte,90-180min,82,622,Action,5.7,15000,2012,6,USA,2012,$ 34M,$ 68M,102,1-2  hrs
The Hunted,William Friedkin,Connie Nielsen,90-180min,607,933,Action,6,0,2003,6,USA,2003,$ 34M,$ 55M,94,1-2  hrs
Instinct,Jon Turteltaub,Anthony Hopkins,90-180min,226,12000,Drama,6.5,0,1999,7,USA,1999,$ 34M,$ 55M,126,2-3 hrs
Stuck on You,Bobby Farrelly,Matt Damon,90-180min,101,13000,Comedy,5.8,0,2003,6,USA,2003,$ 34M,$ 55M,118,1-2  hrs
Semi-Pro,Kent Alterman,Will Ferrell,90-180min,3,8000,Comedy,5.8,0,2008,6,USA,2008,$ 33M,$ 55M,99,1-2  hrs
The Pirates! Band of Misfits,Peter Lord,Salma Hayek,30-90min,91,4000,Adventure,6.7,0,2012,7,UK,2012,$ 31M,$ 55M,88,1-2  hrs
Changeling,Clint Eastwood,Angelina Jolie Pitt,90-180min,16000,11000,Crime,7.8,14000,2008,8,USA,2008,$ 36M,$ 55M,141,2-3 hrs
Chain Reaction,Andrew Davis,Keanu Reeves,90-180min,99,18000,Action,5.6,1000,1996,6,USA,1996,$ 21M,$ 50M,107,1-2  hrs
The Fan,Tony Scott,Robert De Niro,90-180min,12000,22000,Action,5.8,0,1996,6,USA,1996,$ 19M,$ 55M,116,1-2  hrs
The Phantom of the Opera,Joel Schumacher,Gerard Butler,90-180min,541,18000,Drama,7.4,0,2004,7,UK,2004,$ 51M,$ 70M,143,2-3 hrs
Elizabeth: The Golden Age,Shekhar Kapur,Eddie Redmayne,90-180min,159,13000,Biography,6.9,0,2007,7,UK,2007,$ 16M,$ 55M,114,1-2  hrs
ê_on Flux,Karyn Kusama,Charlize Theron,90-180min,45,9000,Action,5.5,0,2005,6,USA,2005,#N/A,#N/A,134,2-3 hrs
Gods and Generals,Ron Maxwell,Billy Campbell,long,33,789,Drama,6.3,953,2003,6,USA,2003,$ 13M,$ 56M,280,>3 hrs
Turbulence,Robert Butler,Hector Elizondo,90-180min,0,995,Action,4.7,316,1997,5,USA,1997,$ 11M,$ 71M,100,1-2  hrs
Imagine That,Karey Kirkpatrick,Stephen Root,90-180min,11,939,Comedy,5.6,610,2009,6,USA,2009,$ 16M,$ 55M,107,1-2  hrs
Muppets Most Wanted,James Bobin,Ty Burrell,90-180min,33,3000,Adventure,6.4,10000,2014,6,USA,2014,$ 51M,$ 50M,119,1-2  hrs
Thunderbirds,Jonathan Frakes,Sophia Myles,90-180min,906,956,Action,4.2,437,2004,4,UK,2004,$ 7M,$ 57M,95,1-2  hrs
Burlesque,Steve Antin,Eric Dane,90-180min,59,2000,Drama,6.4,19000,2010,6,USA,2010,$ 39M,$ 55M,119,1-2  hrs
A Very Long Engagement,Jean-Pierre Jeunet,Denis Lavant,90-180min,0,226,Drama,7.7,0,2004,8,Others,2004,$ 6M,$ 47M,133,2-3 hrs
Lolita,Stanley Kubrick,James Mason,90-180min,0,617,Crime,7.7,0,1962,8,UK,1962,$ 0M,$ 2M,152,2-3 hrs
Eye See You,Jim Gillespie,Sylvester Stallone,90-180min,13,13000,Crime,5.3,448,2002,5,USA,2002,$ 0M,$ 55M,96,1-2  hrs
Blade II,Guillermo del Toro,Norman Reedus,90-180min,0,12000,Action,6.7,0,2002,7,USA,2002,$ 82M,$ 54M,117,1-2  hrs
Seven Pounds,Gabriele Muccino,Will Smith,90-180min,125,10000,Drama,7.7,26000,2008,8,USA,2008,$ 70M,$ 55M,123,2-3 hrs
Bullet to the Head,Walter Hill,Sylvester Stallone,90-180min,394,13000,Action,5.7,10000,2012,6,USA,2012,$ 9M,$ 55M,92,1-2  hrs
The Godfather: Part III,Francis Ford Coppola,Al Pacino,90-180min,0,14000,Crime,7.6,0,1990,8,USA,1990,$ 67M,$ 54M,170,2-3 hrs
Elizabethtown,Cameron Crowe,Orlando Bloom,90-180min,488,5000,Comedy,6.4,0,2005,6,USA,2005,$ 27M,$ 57M,123,2-3 hrs
"You, Me and Dupree",Anthony Russo,Todd Stashwick,90-180min,94,277,Comedy,5.6,0,2006,6,USA,2006,$ 76M,$ 54M,110,1-2  hrs
Superman II,Richard Lester,Margot Kidder,90-180min,44,593,Action,6.8,0,1980,7,USA,1980,$ 108M,$ 54M,116,1-2  hrs
Gigli,Martin Brest,Todd Giebenhain,90-180min,102,117,Comedy,2.4,2000,2003,2,USA,2003,$ 6M,$ 54M,121,2-3 hrs
All the King's Men,Steven Zaillian,Kate Winslet,90-180min,234,14000,Drama,6.2,0,2006,6,Others,2006,$ 7M,$ 55M,128,2-3 hrs
Shaft,John Singleton,Christian Bale,90-180min,309,23000,Action,5.9,0,2000,6,Others,2000,$ 70M,$ 46M,99,1-2  hrs
Anastasia,Don Bluth,Kirsten Dunst,90-180min,383,4000,Adventure,7.1,0,1997,7,USA,1997,$ 58M,$ 50M,94,1-2  hrs
Moulin Rouge!,Baz Luhrmann,Jim Broadbent,90-180min,1000,1000,Drama,7.6,10000,2001,8,USA,2001,$ 57M,$ 52.5M,127,2-3 hrs
Domestic Disturbance,Harold Becker,Steve Buscemi,30-90min,17,12000,Crime,5.5,361,2001,6,USA,2001,$ 45M,$ 53M,89,1-2  hrs
Black Mass,Scott Cooper,Johnny Depp,90-180min,108,40000,Biography,7,44000,2015,7,USA,2015,$ 63M,$ 53M,123,2-3 hrs
Flags of Our Fathers,Clint Eastwood,Paul Walker,90-180min,16000,23000,Drama,7.1,0,2006,7,USA,2006,$ 34M,$ 90M,135,2-3 hrs
Law Abiding Citizen,F. Gary Gray,Gerard Butler,90-180min,473,18000,Crime,7.4,21000,2009,7,USA,2009,$ 73M,$ 50M,118,1-2  hrs
Grindhouse,Robert Rodriguez,Quentin Tarantino,long,0,16000,Action,7.6,0,2007,8,USA,2007,$ 25M,$ 53M,189,>3 hrs
Beloved,Jonathan Demme,Oprah Winfrey,90-180min,438,852,Drama,5.9,853,1998,6,USA,1998,$ 23M,$ 55M,172,2-3 hrs
Lucky You,Curtis Hanson,Robert Downey Jr.,90-180min,161,21000,Drama,5.9,672,2007,6,USA,2007,$ 6M,$ 55M,124,2-3 hrs
Catch Me If You Can,Steven Spielberg,Leonardo DiCaprio,90-180min,14000,29000,Biography,8,15000,2002,8,USA,2002,$ 164M,$ 52M,141,2-3 hrs
Zero Dark Thirty,Kathryn Bigelow,Jennifer Ehle,90-180min,0,1000,Drama,7.4,39000,2012,7,USA,2012,$ 96M,$ 40M,157,2-3 hrs
The Break-Up,Peyton Reed,Jon Favreau,90-180min,235,4000,Comedy,5.8,0,2006,6,USA,2006,$ 119M,$ 52M,106,1-2  hrs
Mamma Mia!,Phyllida Lloyd,Colin Firth,90-180min,58,14000,Comedy,6.3,10000,2008,6,USA,2008,$ 144M,$ 52M,108,1-2  hrs
Valentine's Day,Garry Marshall,Bradley Cooper,90-180min,0,14000,Comedy,5.7,9000,2010,6,USA,2010,$ 110M,$ 52M,125,2-3 hrs
The Dukes of Hazzard,Jay Chandrasekhar,Alice Greczyn,90-180min,422,631,Action,5.1,0,2005,5,USA,2005,$ 80M,$ 50M,107,1-2  hrs
The Thin Red Line,Terrence Malick,Nick Stahl,long,0,648,Drama,7.6,0,1998,8,USA,1998,$ 36M,$ 52M,215,>3 hrs
The Change-Up,David Dobkin,Ryan Reynolds,90-180min,71,16000,Comedy,6.4,13000,2011,6,USA,2011,$ 37M,$ 52M,118,1-2  hrs
Man on the Moon,Milos Forman,Matt Price,90-180min,869,134,Biography,7.4,0,1999,7,UK,1999,$ 35M,$ 52M,118,1-2  hrs
Casino,Martin Scorsese,Robert De Niro,90-180min,17000,22000,Biography,8.2,11000,1995,8,USA,1995,$ 42M,$ 52M,178,2-3 hrs
From Paris with Love,Pierre Morel,Kasia Smutniak,90-180min,180,211,Action,6.5,0,2010,7,Others,2010,$ 23M,$ 52M,92,1-2  hrs
Bulletproof Monk,Paul Hunter,Jaime King,90-180min,13,961,Action,5.5,846,2003,6,USA,2003,$ 23M,$ 52M,104,1-2  hrs
"Me, Myself & Irene",Bobby Farrelly,Robert Forster,90-180min,101,889,Comedy,6.5,0,2000,7,USA,2000,$ 91M,$ 51M,116,1-2  hrs
Barnyard,Steve Oedekerk,Rob Paulsen,90-180min,176,677,Animation,5.6,605,2006,6,Others,2006,$ 73M,$ 51M,90,1-2  hrs
Deck the Halls,John Whitesell,Matthew Broderick,90-180min,14,2000,Comedy,4.9,1000,2006,5,USA,2006,$ 35M,$ 0M,93,1-2  hrs
The Twilight Saga: New Moon,Chris Weitz,Robert Pattinson,90-180min,129,21000,Adventure,4.6,13000,2009,5,USA,2009,$ 297M,$ 50M,130,2-3 hrs
Shrek,Andrew Adamson,Kathleen Freeman,90-180min,80,145,Adventure,7.9,0,2001,8,USA,2001,$ 268M,$ 60M,90,1-2  hrs
The Adjustment Bureau,George Nolfi,Matt Damon,90-180min,53,13000,Romance,7.1,36000,2011,7,USA,2011,$ 62M,$ 50.2M,106,1-2  hrs
Robin Hood: Prince of Thieves,Kevin Reynolds,Alan Rickman,90-180min,58,25000,Action,6.9,0,1991,7,USA,1991,$ 166M,$ 48M,155,2-3 hrs
Jerry Maguire,Cameron Crowe,Tom Cruise,90-180min,488,10000,Comedy,7.3,0,1996,7,USA,1996,$ 154M,$ 50M,139,2-3 hrs
Ted,Seth MacFarlane,Mila Kunis,90-180min,3000,15000,Comedy,7,74000,2012,7,USA,2012,$ 219M,$ 50M,112,1-2  hrs
As Good as It Gets,James L. Brooks,Lupe Ontiveros,90-180min,274,625,Comedy,7.7,11000,1997,8,USA,1997,$ 148M,$ 50M,139,2-3 hrs
Patch Adams,Tom Shadyac,Robin Williams,90-180min,293,49000,Biography,6.7,0,1998,7,USA,1998,$ 135M,$ 50M,115,1-2  hrs
Anchorman 2: The Legend Continues,Adam McKay,Harrison Ford,90-180min,285,11000,Comedy,6.3,41000,2013,6,USA,2013,$ 2M,$ 50M,143,2-3 hrs
Mr. Deeds,Steven Brill,Steve Buscemi,90-180min,65,12000,Comedy,5.8,0,2002,6,USA,2002,$ 126M,$ 50M,96,1-2  hrs
Super 8,J.J. Abrams,Joel Courtney,90-180min,14000,1000,Mystery,7.1,37000,2011,7,USA,2011,$ 127M,$ 50M,112,1-2  hrs
Erin Brockovich,Steven Soderbergh,Julia Roberts,90-180min,0,8000,Biography,7.3,0,2000,7,USA,2000,$ 126M,$ 52M,131,2-3 hrs
How to Lose a Guy in 10 Days,Donald Petrie,Matthew McConaughey,90-180min,80,11000,Comedy,6.4,0,2003,6,USA,2003,$ 106M,$ 50M,116,1-2  hrs
22 Jump Street,Phil Lord,Channing Tatum,90-180min,97,17000,Action,7.1,24000,2014,7,USA,2014,$ 192M,$ 50M,112,1-2  hrs
Interview with the Vampire: The Vampire Chronicles,Neil Jordan,Brad Pitt,90-180min,277,11000,Drama,7.6,11000,1994,8,USA,1994,$ 105M,$ 60M,123,2-3 hrs
